,Event_ID,Start_INDX,Stop_INDX,t_peak,t_start,t_stop,t_rise,t_decay,Flux_peak,Equiv_Dur,S/N,CPLX_flg,MLTPK_flg,MLTPK_num,t_MLTPK,L_mltpk,MLTPK_INDX,quies,x,Flare_Duration
7,8,1696.0,1707.0,1685.7325952727629,1685.729817460779,1685.7450954266887,0.0027778119838331,0.0125001539258847,0.0073028134632617,3.2129031338115936,1.3283268522444462,1.0,0.0,0.0,0.0,0.0,0.0,11347.69043,;,22.00027090999356
8,9,1908.0,1941.0,1686.028432240426,1686.0242655226834,1686.0700994171564,0.0041667177424642,0.0416671767304706,0.0674975746350504,52.023511675037135,6.877622542704032,1.0,0.0,0.0,0.0,0.0,0.0,11371.125,;,66.00080804102618
9,10,2477.0,2488.0,1686.815941809787,1686.8145529040276,1686.82983086598,0.0013889057595406,0.0138890561929657,0.0198465629086039,8.424115337408596,2.646364344476909,1.0,0.0,0.0,0.0,0.0,0.0,11334.62988,;,22.000265211609076
11,12,3558.0,3578.0,1688.3423488276135,1688.3395710172597,1688.3673491198688,0.0027778103537912,0.0250002922552994,0.043120849075037,15.954549862843612,3.663175177284332,1.0,0.0,0.0,0.0,0.0,0.0,11415.00781,;,40.00046775709052
12,13,3956.0,3977.0,1688.9048553738971,1688.9006886589473,1688.9298556631252,0.0041667149498608,0.0250002892280463,0.0209482955148176,13.707977187099628,3.263321217526882,1.0,0.0,0.0,0.0,0.0,0.0,11428.30957,;,42.00048601618619
13,14,4407.0,4427.0,1689.5451405206868,1689.5423627110308,1689.5701408066552,0.0027778096559814,0.0250002859684173,0.0202227251858564,10.991961709278105,2.820261465113014,1.0,0.0,0.0,0.0,0.0,0.0,11445.7666,;,40.00045769913413
14,15,4430.0,4458.0,1689.5812520450445,1689.5743075211385,1689.6131968546863,0.006944523905986,0.0319448096420274,0.0056428446135424,1.1965306256649246,0.3128413056257379,1.0,0.0,0.0,0.0,0.0,0.0,11419.42871,;,56.00064030881185
16,17,4652.0,4664.0,1689.8840332767768,1689.8826443719495,1689.899311228253,0.0013889048273086,0.0152779514762642,0.0296519733500633,11.158620802948464,3.0926873072058623,1.0,0.0,0.0,0.0,0.0,0.0,11342.4082,;,24.00027307714481
18,19,4940.0,4961.0,1690.2840378138571,1690.2826489092627,1690.3118159057562,0.0013889045944779,0.0277780918991084,0.0215624156244863,13.35393682725804,3.1970007702606176,1.0,0.0,0.0,0.0,0.0,0.0,11336.99316,;,42.00047495076433
19,20,5338.0,5353.0,1690.8368218188955,1690.8354329142999,1690.8562664815954,0.0013889045958422,0.0194446626996978,0.0195344122268378,14.109143041425236,3.446505175620984,1.0,0.0,0.0,0.0,0.0,0.0,11343.01758,;,30.00033690557757
20,21,6290.0,6304.0,1692.1743367438266,1692.1729478394643,1692.1923925003023,0.0013889043623294,0.0180557564756327,0.0151162660123153,5.39707749098569,1.9363722664345735,1.0,0.0,0.0,0.0,0.0,0.0,11322.72754,;,28.00031160666549
24,27,9594.0,9610.0,1697.7507858925528,1697.746619209035,1697.774397098838,0.0041666835177239,0.0236112062852953,0.005421459638842,7.61845707561929,2.2866582262342026,1.0,0.0,0.0,0.0,0.0,0.0,11416.65527,;,40.00016131634766
25,28,9809.0,9835.0,1698.0605093056874,1698.0591204115688,1698.0966205490183,0.0013888941184632,0.0361112433311064,0.1118687644011023,56.61459239830896,7.23495126474808,1.0,0.0,0.0,0.0,0.0,0.0,11333.77637,;,54.00019792738021
30,34,11722.0,11733.0,1700.721628523452,1700.7188507384767,1700.7341285560751,0.0027777849754784,0.0125000326229383,0.0057374322221562,5.24104856876091,1.7331986572023006,1.0,0.0,0.0,0.0,0.0,0.0,11442.62988,;,22.000057341720094
33,40,13729.0,13742.0,1703.5313570092403,1703.5285792261284,1703.5466348154305,0.0027777831119238,0.0152778061901699,0.0248366281649616,12.870019899929911,3.31136231044978,1.0,0.0,0.0,0.0,0.0,0.0,11336.94141,;,26.00004859501496
36,43,14508.0,14551.0,1704.6188589056408,1704.6105255588636,1704.6702478780956,0.0083333467773627,0.051388972454788,0.0155120707807611,39.97124960139642,5.805394078331736,1.0,0.0,0.0,0.0,0.0,0.0,11343.3623,;,86.00013969396969
39,48,17033.0,17060.0,1708.1452531025784,1708.139697537284,1708.1771976023242,0.005555565294344,0.0319444997458049,0.010823449851832,12.062947164695789,3.002975084031648,1.0,0.0,0.0,0.0,0.0,0.0,11322.62109,;,54.00009365781443
43,54,11858.0,11874.0,1700.9174623630652,1700.9077401158843,1700.9299623949903,0.0097222471811165,0.0125000319251285,0.0122333163043698,4.609733942335508,1.7787309957184492,1.0,0.0,0.0,0.0,0.0,0.0,11326.04297,;,32.00008191266534
44,55,11567.0,11584.0,1700.5160724247835,1700.5035723914616,1700.5271835656163,0.012500033321885,0.0111111408327815,0.0067294199332636,1.7889320310840688,0.8635836222659721,1.0,0.0,0.0,0.0,0.0,0.0,11331.12012,;,34.00009078271978
45,56,12821.0,12837.0,1702.2660766713796,1702.263298887568,1702.2855211582932,0.00277778381178,0.0194444869134713,0.006115099116264,3.6086082409799647,1.4287819605507852,1.0,0.0,0.0,0.0,0.0,0.0,11327.90625,;,32.00006984436186
48,59,11087.0,11111.0,1699.8438483417212,1699.83690387742,1699.8702373062079,0.0069444643013412,0.026388964486614,0.1569734307884492,58.053389946983486,7.36145443450066,1.0,0.0,0.0,0.0,0.0,0.0,11328.36523,;,48.00013745465549
