,Amps
0,0.0018404994019221022
1,0.007930854763122719
2,0.002395382488840747
3,0.004477023532291957
4,0.002440857936262697
5,0.009520013340514666
6,0.007197068408167029
7,0.001417753841159719
8,0.001753018295562514
9,0.001966496764878256
10,0.0037995731034530245
11,0.0018510557846052045
12,0.001112493516248536
13,0.004934575683213538
14,0.005239806270954883
15,0.004191421891295288
16,0.004395822313748354
17,0.005130113066796227
18,0.003438430366969225
19,0.007773201231581872
20,0.0041023001893656375
21,0.014872001292316028
22,0.002840002589521662
23,0.0022837719172281723
24,0.0018146044610720669
25,0.0013753597160675035
26,0.008088789954046716
27,0.0035150847202094493
28,0.002119349682669691
29,0.0022765222064993207
30,0.0026679843514099133
31,0.0057675129193388575
32,0.004718867939280003
33,0.0029859722432730162
34,0.0018072658305634537
35,0.0031548536127143922
36,0.004033027675623524
37,0.002336760113032854
38,0.0032376474447464165
39,0.0016899275940542857
40,0.001544216157170597
41,0.006503229503431518
42,0.01160045361090667
43,0.006793534080122843
44,0.002870083731160822
45,0.0014760071172748024
46,0.013151667012887058
47,0.00717831463218821
48,0.0115795046992333
49,0.0019146359584980566
50,0.0012637724452171373
51,0.005182252405556476
52,0.004548385938119015
53,0.03391447035937989
54,0.021502375629721238
55,0.003095685422556338
56,0.010590879894275096
57,0.0026736702576584115
58,0.02421863700668303
59,0.007827739288102986
60,0.13187958899261987
61,0.00499100588410295
62,0.016540214792116315
63,0.016540214792116315
64,0.0020614489592800656
65,0.0015661534884414685
66,0.005310136161136736
67,0.006329594941169692
68,0.002165358506198478
69,0.00318068421916462
70,0.001793572730124593
71,0.003740685875390337
72,0.0037254573077138975
73,0.0021362793896582133
74,0.0014520823880990186
75,0.0057027870993018315
76,0.011267483871360895
77,0.002957435827218191
78,0.0021413424363769806
79,0.006877822078667162
80,0.0031316439535731266
81,0.005301351119360476
82,0.0012859842397907606
83,0.0022253133613872045
84,0.002722089585357468
85,0.004682103096540713
86,0.011156501605441349
87,0.0016096874549569318
88,0.002471164870230469
89,0.002471164870230469
90,0.007952125370081609
91,0.0024889198443456273
92,0.0015560654296473686
93,0.012973105200364987
94,0.013589523050584917
95,0.0022663852337672097
96,0.004817921357969546
97,0.0028111760699665034
98,0.001771843879990076
99,0.003215924648326096
100,0.003203668870839449
101,0.003838235910112564
102,0.008709525747639058
103,0.005914118187507089
104,0.0056387546672895805
105,0.004625598070153947
106,0.001982430004174196
107,0.003200158063982883
108,0.0035613183075877686
109,0.009030096232324203
110,0.001970212819111472
111,0.002354570877563633
112,0.0011937972213020842
113,0.0010502842895983022
114,0.00309871673893114
115,0.002418074343624843
116,0.001721254292795571
117,0.00474832061766306
118,0.0019424540134296286
119,0.008574130769265498
120,0.003049400472519226
121,0.008650832217090731
122,0.0017672947180842336
123,0.006250130339219284
124,0.0074065259075040135
125,0.0018515357800401588
126,0.0014639550578690042
127,0.008876611551433156
128,0.008876611551433156
129,0.016077946014606548
130,0.06246716261596208
131,0.0035154428809551774
132,0.0019208296559335425
133,0.04371823075936687
134,0.005509067476555662
135,0.0019625277641601713
136,0.002012350150889297
137,0.002601177036305913
138,0.0022123005077165914
139,0.012947744927620741
140,0.006486728790516816
141,0.0011043562538206597
142,0.001715714960760062
143,0.005439332816060238
144,0.0047653384130057486
145,0.013810569319597454
146,0.010577431092283707
147,0.010577431092283707
148,0.003316653601564745
149,0.006251104570402788
150,0.004877067091307641
151,0.013196944472559036
152,0.0018540124222972132
153,0.003853353598931908
154,0.01601501453949883
155,0.0021902401378082192
156,0.015152893171064274
157,0.006440384366112717
158,0.004085822808503448
159,0.013851918630109594
160,0.0018230499708040693
161,0.015994582054319473
162,0.014502597481490298
163,0.004109422512986294
164,0.008929362608249392
165,0.0032873167440496953
166,0.0032873167440496953
167,0.007340679631812952
168,0.01257409051205216
169,0.0024473445463559784
170,0.003109163090896816
171,0.003121516827758297
172,0.00517846225855878
173,0.008517699749379326
174,0.007316553241068835
175,0.0026156948695794657
176,0.230618140870684
177,0.0029459800011248927
178,0.005362815262422549
179,0.013419409517663183
180,0.002196412482788457
181,0.362759360069846
182,0.0031954328960160927
183,0.0017956605058692121
184,0.002842637813753379
185,0.0021404715339936597
186,0.002338029105842798
187,0.0025126769201329058
188,0.019954632220195556
189,0.14643697031096292
190,0.00989030024899562
191,0.009542087941894817
192,0.002710883660069663
193,0.01656032449697098
194,0.013083486031512326
195,0.012285286684285746
196,0.004896655800034955
197,0.0034125313702986215
198,0.009357278535958136
199,0.007679208910895019
200,0.009831625153760015
201,0.009831625153760015
202,0.004347966499902323
203,0.004636861999282149
204,0.0015065341616288253
205,0.00513858432031189
206,0.004844952980092687
207,0.12010509691461535
208,0.003674998800235807
209,0.006845054983452226
210,0.006845054983452226
211,0.01984536665845149
212,0.0039502373410245095
213,0.0023747392713096005
214,0.008868163573231502
215,0.0022565850402787024
216,0.0021104379514989002
217,0.001213599916350061
218,0.0012772285895024105
219,0.0038576384875113057
220,0.0025585188887953247
221,0.015772969818499627
222,0.006112647992451148
223,0.007047775548747692
224,0.0016009717511007437
225,0.0013614223166646955
